Level,Path,Quaternion
Book,,"[1.0, 0.0, 0.0, 0.0]"
Chapter,0,"[0.9510565162951536, 0.0, 0.30901699437494734, 0.0]"
Paragraph,0-0,"[0.8090169943749476, 0.0, 0.587785252292473, 0.0]"
Sentence,0-0-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,0-0-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-0-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-0-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-0-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,0-0-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-0-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-0-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-0-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,0-0-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-0-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-0-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,0-1,"[0.8090169943749476, -0.5090369604551271, -0.2938926261462364, 0.0]"
Sentence,0-1-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,0-1-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-1-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-1-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-1-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,0-1-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-1-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-1-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-1-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,0-1-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-1-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-1-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,0-2,"[0.8090169943749476, 0.5090369604551269, -0.2938926261462368, 0.0]"
Sentence,0-2-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,0-2-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-2-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-2-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-2-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,0-2-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-2-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-2-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,0-2-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,0-2-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,0-2-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,0-2-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Chapter,1,"[0.9510565162951536, -0.26761656732981737, -0.1545084971874736, 0.0]"
Paragraph,1-0,"[0.8090169943749476, 0.0, 0.587785252292473, 0.0]"
Sentence,1-0-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,1-0-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-0-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-0-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-0-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,1-0-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-0-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-0-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-0-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,1-0-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-0-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-0-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,1-1,"[0.8090169943749476, -0.5090369604551271, -0.2938926261462364, 0.0]"
Sentence,1-1-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,1-1-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-1-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-1-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-1-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,1-1-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-1-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-1-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-1-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,1-1-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-1-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-1-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,1-2,"[0.8090169943749476, 0.5090369604551269, -0.2938926261462368, 0.0]"
Sentence,1-2-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,1-2-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-2-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-2-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-2-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,1-2-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-2-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-2-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,1-2-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,1-2-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,1-2-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,1-2-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Chapter,2,"[0.9510565162951536, 0.2676165673298173, -0.15450849718747378, 0.0]"
Paragraph,2-0,"[0.8090169943749476, 0.0, 0.587785252292473, 0.0]"
