Level,Path,Quaternion
Sentence,2-0-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,2-0-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-0-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-0-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-0-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,2-0-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-0-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-0-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-0-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,2-0-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-0-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-0-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,2-1,"[0.8090169943749476, -0.5090369604551271, -0.2938926261462364, 0.0]"
Sentence,2-1-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,2-1-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-1-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-1-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-1-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,2-1-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-1-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-1-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-1-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,2-1-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-1-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-1-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Paragraph,2-2,"[0.8090169943749476, 0.5090369604551269, -0.2938926261462368, 0.0]"
Sentence,2-2-0,"[0.5877852522924731, -0.0, 0.8090169943749475, 0.0]"
Word,2-2-0-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-2-0-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-2-0-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-2-1,"[0.5877852522924731, -0.7006292692220369, -0.40450849718747356, 0.0]"
Word,2-2-1-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-2-1-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-2-1-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
Sentence,2-2-2,"[0.5877852522924731, 0.7006292692220366, -0.40450849718747406, 0.0]"
Word,2-2-2-0,"[0.3090169943749475, -0.0, 0.9510565162951536, 0.0]"
Word,2-2-2-1,"[0.3090169943749475, -0.8236391035463323, -0.47552825814757665, 0.0]"
Word,2-2-2-2,"[0.3090169943749475, 0.8236391035463317, -0.47552825814757727, 0.0]"
